SEC2000.2021.02.02SDTEZ
TimeStamp,gYawDev25s,gYawTwistPosition,gNacVibrationX,gNacVibrationY,gVibEffectiveValue,gRotSpeed1,gRotSpeed2,gRotSpeedSSI,gActualGenSpd,gConvTorqueActualVal,gWindSpeed10s,gWindSpeed1,gWindSpeed2,gWindDirection1Avg25s,gWindDirection2Avg25s,gPitSysTagPosSet,gPitchPosition,gHydSysPressure,gSCACosPhiSet,gScadaPowReduct,gBrakeCode,gYawCode,gMainLoopNumber,ManuControl,buf_safety_1,buf_safety_2,gCscDataIn.StateWord,gConvTorqueSetVal,buf_Conv_control,buf_gTBDI937101,buf_gTBDI937102,buf_gTBDO932201,buf_gTBDO932202,buf_gNacDI937101,buf_gNacDI937102,buf_gNacDI937103,buf_gNacDI937104,buf_gNacDI937105,buf_gNacDI937106,buf_gNacDI937107,buf_gNacDO932201,buf_gNacDO932202,buf_gNacDO932203,buf_gNacDO932204,gTmpCabTb,gTmpTb,gTmpTf,gTmpCabNac,gTmpNac,gTmpNacOutdoor,gYawSpeed,gTmpGbxLow,gTmpGbxInletOil,gTmpGbxOil,gTmpGbxWater,gTmpGenWinding,gTmpGenCoolWater,gTmpGenWindingU1,gTmpGenWindingV1,gTmpGenWindingW1,gTmpGenBearingF,gTmpGenBearingR,gTmpGenRing,gTmpGenInletAir,gTmpGenOutletAir,gGridU1,gGridU2,gGridU3,gGridIL1,gGridIL2,gGridIL3,gGridFreq,gGridP,gGridQ,gGridCosPhi,gPitPosEnc1[0],gPitPosEnc1[1],gPitPosEnc1[2],gPitPosEnc2[0],gPitPosEnc2[1],gPitPosEnc2[2],gPitDrvCurrentInv[0],gPitDrvCurrentInv[1],gPitDrvCurrentInv[2],gPitAxisBattVolt[0],gPitAxisBattVolt[1],gPitAxisBattVolt[2],gBufPitchStatus_1,gBufPitchStatus_2,gBufPitchStatus_3,gBufPitchStatus_4,gBufPitchStatus_5,gBufPitchStatus_6,gBufPitchStatus_7,gBufPitchStatus_8,BufferType,gRegion,,,,
2022_4_8_19:35:47:920,8.88002,395.812,0.00686514,0.0196615,0.00151632,14.5225,14.5225,14.5198,1801.34,99.087,10.944,10.3932,10.3932,8.88002,8.88002,4.10517,3.887,154.616,0,1,0,0,8,0,255,255,570.2,98.9521,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,28,1.06165e-15,75.8,61.8,68.1,61,97.47,36.5,97.47,97.15,96.44,58.38,52.81,45.84,0,0,418.2,417.2,413.8,1623.7,1655.2,1670.9,50.057,2048.3,59.9,-0.000200003,3.89,3.892,3.879,3.981,3.882,3.835,4.86,5.33,10.27,310.12,328.3,306.55,18498,32793,33817,32793,8.2,8.2,8.2,5913,0,3,0,0,0,
2022_4_8_19:35:48:920,8.90199,395.812,0.00482498,0.0185461,0.00271457,14.3467,14.3467,14.6284,1803.57,99.25,10.7643,10.7408,10.7408,8.90199,8.90199,5.06944,5.21267,154.576,0,1,0,0,8,0,255,255,877.4,99.0056,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,28,1.06165e-15,75.8,61.8,68.1,61,97.5,36.5,97.5,97.15,96.46,58.38,52.8,45.84,0,0,419.7,416.6,413.2,1631.9,1656.1,1671.4,50.045,2056.2,57.6,-0.000199997,5.21,5.213,5.215,5.317,5.2,5.229,11.56,13.1,10.93,310.11,328.26,306.59,18498,32793,33817,32793,8.2,8.2,8.2,5913,0,3,0,0,0,
2022_4_8_19:35:49:920,8.73177,395.812,0.00500198,0.0185675,0.00250533,14.3408,14.3408,14.3657,1793.08,98.516,11.0162,12.0077,12.0077,8.73177,8.73177,3.67424,3.697,154.578,0,1,0,0,8,0,255,255,877.4,98.4237,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,28,1.06165e-15,75.8,61.8,68.1,61,97.47,36.5,97.47,97.17,96.44,58.38,52.81,45.83,0,0,417.7,417,413.9,1601.3,1636.8,1651.8,50.012,2038.3,57.4,0.7979,3.706,3.695,3.69,3.813,3.685,3.682,16.68,15.84,11.68,310.1,328.3,306.6,18498,32793,33817,32793,8,8.2,8.1,5913,0,3,0,0,0,
2022_4_8_19:35:50:920,8.18981,395.812,0.00397198,0.0184332,0.00269361,14.3818,14.3818,14.3927,1790.13,98.765,11.3336,11.2633,11.2633,8.18981,8.18981,3.44279,3.49367,154.64,0,1,0,0,8,0,255,255,979.8,99.0358,8,139,3075,468.8,14,4087,1,2058,1012,7,4080,3967,1141.2,204,2316,288,33.7,33,3276.7,36.71,36.7,28,1.06165e-15,75.8,61.8,68.1,61,97.5,36.5,97.5,97.15,96.47,58.4,52.84,45.91,0,0,417.1,417.1,414,1605,1639.9,1655.1,49.993,2034.5,61,0.9977,3.493,3.497,3.491,3.592,3.489,3.446,15.67,6.77,10.44,310.09,328.27,306.55,18498,32793,33817,32793,8,8,8,5913,0,3,0,0,0,
2022_4_8_19:35:51:920,7.08093,395.812,0.00357219,0.0182882,0.00303116,14.3701,14.3701,14.3744,1789.08,99.358,10.9449,9.83474,9.83474,7.08093,7.08093,2.79168,2.65933,154.615,0,1,0,0,8,0,255,255,570.2,99.3152,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,28,1.06165e-15,75.8,61.8,68.1,61,97.5,36.5,97.5,97.13,96.5,58.38,52.84,45.86,0,0,417.8,416.8,413.6,1615.4,1648.4,1664,50.015,2039.9,49.1,0.3992,2.657,2.664,2.657,2.776,2.693,2.629,9.11,6.62,13.85,310.08,328.27,306.52,18498,32793,33817,32793,8.1,8.1,8,5913,0,3,0,0,0,
2022_4_8_19:35:52:920,5.08829,395.812,0.00400555,0.0197409,0.00204159,14.3232,14.3232,14.5336,1793.91,99.558,10.5751,10.1291,10.1291,5.08829,5.08829,3.63605,3.72867,154.569,0,1,0,0,8,0,255,255,775,99.4693,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,27.98,1.06165e-15,75.81,61.8,68.1,61,97.5,36.5,97.5,97.15,96.49,58.39,52.81,45.87,0,0,418.1,416.4,413.1,1628.4,1657.5,1672.9,50,2051.2,66.1,0.7984,3.73,3.728,3.728,3.843,3.709,3.677,8.74,12.62,11.69,310.05,328.24,306.54,18498,32793,33817,32793,8,8,8,5913,0,3,0,0,0,
2022_4_8_19:35:53:920,3.60848,395.812,0.0037431,0.0209052,0.00187785,14.2441,14.2441,14.3061,1785.12,98.531,10.1877,8.90972,8.90972,3.60848,3.60848,2.29882,2.41933,154.654,0,1,0,0,8,0,255,255,672.6,98.5315,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,27.94,1.06165e-15,75.81,61.8,68.1,61,97.48,36.5,97.48,97.14,96.46,58.4,52.86,45.88,0,0,418,416.5,413.3,1597.8,1628.7,1643.8,50.043,2033.4,50.7,0.798,2.422,2.418,2.418,2.544,2.481,2.427,18.4,18,12.69,310.06,328.3,306.55,18498,32793,33817,32793,8.2,8.2,8.2,5913,0,3,0,0,0,
2022_4_8_19:35:54:920,3.00253,395.812,0.00440992,0.020719,0.0010682,14.3232,14.3232,14.3342,1781.6,98.898,9.78881,9.65514,9.65514,3.00253,3.00253,1.83043,1.78667,154.6,0,1,0,0,8,0,255,255,775,99.0771,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.71,36.7,27.9,1.06165e-15,75.8,61.8,68.1,61,97.48,36.5,97.48,97.16,96.48,58.37,52.83,45.83,0,0,418.4,416.7,413.2,1607.1,1635.2,1650.5,50.053,2027.9,63.4,0.9977,1.787,1.784,1.789,1.915,1.894,1.817,15.08,6.49,8.18,310.06,328.3,306.57,18498,32793,33817,32793,8.1,8.1,8.1,5913,0,3,0,0,0,
2022_4_8_19:35:55:920,2.41454,395.812,0.00451674,0.0193991,0.000974426,14.2646,14.2646,14.2716,1781.19,99.109,9.25358,6.96081,6.96081,2.41454,2.41454,1.10305,1.05133,154.562,0,1,0,0,8,0,255,255,672.6,99.288,8,139,3075,468.8,14,4087,1,2058,1012,7,4080,3967,1141.2,204,2316,288,33.7,33,3276.7,36.73,36.7,27.9,1.06165e-15,75.85,61.8,68.1,61,97.49,36.5,97.49,97.14,96.47,58.38,52.82,45.92,0,0,419.1,416.5,412.9,1610,1633.5,1649.2,50.016,2031.5,49.5,-9.99928e-05,1.048,1.056,1.05,1.245,1.183,1.072,12.92,8.65,15.8,310.04,328.3,306.5,18498,32793,33817,32793,8,8,8,5913,0,3,0,0,0,
2022_4_8_19:35:56:920,0.840117,395.812,0.00479904,0.0173025,0.00261941,14.3057,14.3057,14.4631,1782.74,99.217,8.63759,9.52131,9.52131,0.840117,0.840117,1.80947,1.86433,154.592,0,1,0,0,8,0,255,255,979.8,99.0958,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.71,36.7,27.9,1.06165e-15,75.85,61.8,68.1,61,97.53,36.5,97.53,97.15,96.48,58.4,52.84,45.87,0,0,418.6,416.8,413.5,1609.2,1638.7,1654.4,50.063,2031.7,64.4,0.5986,1.864,1.864,1.865,2,1.942,1.878,6.81,9.85,10.75,310.04,328.27,306.5,18498,32793,33817,32793,8.2,8.1,8.1,5913,0,3,0,0,0,
